Trial_ID,Model_Architecture,Optimization_Engine,Accuracy,Weighted_F1,ROC_AUC,Severity_MAE,Severity_R2,Learning_Rate,Max_Depth,Estimators,Subsample,Best_Trial_Flag
1,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.8911,0.8872,0.92,2.4262,0.7553,0.0181,7,179,0.66,0
2,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.8838,0.8802,0.92,2.4033,0.7665,0.0101,6,100,0.85,0
3,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.8913,0.8887,0.92,2.2772,0.7752,0.0635,6,143,0.79,0
4,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.8831,0.8787,0.92,2.2307,0.7804,0.1419,4,88,0.61,0
5,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.8871,0.8834,0.92,2.1222,0.7847,0.0647,4,183,0.9,0
6,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9076,0.9049,0.92,2.0939,0.7967,0.1279,6,241,0.76,0
7,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9083,0.906,0.92,2.1124,0.8093,0.1282,7,161,0.82,0
8,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9097,0.9064,0.92,1.869,0.8185,0.0515,7,144,0.61,0
9,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.8849,0.8827,0.92,1.8233,0.8254,0.1206,5,84,0.97,0
10,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9031,0.8995,0.92,1.8832,0.8383,0.0234,7,178,0.84,0
11,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9272,0.9247,0.935,1.6716,0.839,0.043,5,216,0.88,0
12,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.935,0.9336,0.9397,1.795,0.8409,0.0766,7,175,0.88,0
13,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9321,0.929,0.9353,1.6172,0.851,0.1073,6,145,0.85,0
14,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9405,0.9383,0.9431,1.5118,0.855,0.0683,5,207,0.92,0
15,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9304,0.9289,0.9337,1.6673,0.8777,0.1305,5,216,0.79,0
16,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9343,0.9305,0.9379,1.4734,0.8675,0.0406,3,192,0.63,0
17,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9296,0.9259,0.9359,1.3978,0.8759,0.0583,3,226,0.87,0
18,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9447,0.9416,0.9494,1.6359,0.9003,0.0213,5,224,0.89,0
19,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9707,0.9672,0.9759,1.2198,0.8858,0.0157,6,243,0.61,0
20,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9448,0.9418,0.9482,1.1938,0.9081,0.1067,4,183,0.66,1
21,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9453,0.9406,0.9525,1.2078,0.9191,0.1244,3,139,0.7,0
22,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9422,0.9372,0.95,1.28,0.9202,0.0364,3,178,0.88,0
23,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.966,0.9633,0.9733,1.1306,0.9329,0.0913,3,178,0.99,0
24,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9845,0.9824,0.9884,0.7721,0.926,0.1492,6,240,0.61,0
25,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9517,0.9492,0.9582,0.9975,0.9321,0.086,5,194,0.85,0
26,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9919,0.9899,0.9974,0.9389,0.9535,0.1369,5,100,0.8,0
27,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.975,0.9732,0.9814,1.152,0.9463,0.1417,7,125,0.97,0
28,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9899,0.9874,0.992,0.8076,0.9721,0.1453,5,195,0.72,0
29,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.998,0.9957,1.0,0.7258,0.9794,0.1074,4,111,0.87,0
30,Gradient Boosted Trees (XGBoost),Optuna Bayesian Search,0.9914,0.989,0.9949,0.6,0.9682,0.1288,3,122,0.88,0
